,Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2021-09-02 12:00:00-04:00,4538.25,4538.75,4538.25,4538.25,0,0,0
1,2021-09-02 12:01:00-04:00,4538.25,4538.5,4538.0,4538.0,1882,0,0
2,2021-09-02 12:02:00-04:00,4538.0,4538.75,4537.75,4538.75,1528,0,0
3,2021-09-02 12:03:00-04:00,4538.75,4538.75,4538.0,4538.0,888,0,0
4,2021-09-02 12:04:00-04:00,4538.25,4538.25,4537.25,4537.25,2270,0,0
5,2021-09-02 12:05:00-04:00,4537.5,4538.0,4537.0,4537.5,1604,0,0
6,2021-09-02 12:06:00-04:00,4537.75,4537.75,4537.25,4537.5,781,0,0
7,2021-09-02 12:07:00-04:00,4537.5,4537.75,4537.25,4537.5,831,0,0
8,2021-09-02 12:08:00-04:00,4537.25,4537.75,4537.0,4537.25,680,0,0
9,2021-09-02 12:09:00-04:00,4537.25,4537.5,4536.75,4537.0,1838,0,0
10,2021-09-02 12:10:00-04:00,4537.0,4537.75,4537.0,4537.5,1193,0,0
11,2021-09-02 12:11:00-04:00,4537.25,4537.75,4537.0,4537.5,1313,0,0
12,2021-09-02 12:12:00-04:00,4537.25,4537.5,4537.0,4537.25,1117,0,0
13,2021-09-02 12:13:00-04:00,4537.5,4537.5,4537.0,4537.5,800,0,0
14,2021-09-02 12:14:00-04:00,4537.5,4537.75,4537.0,4537.75,1015,0,0
15,2021-09-02 12:15:00-04:00,4537.75,4537.75,4537.0,4537.25,757,0,0
16,2021-09-02 12:16:00-04:00,4537.5,4537.75,4537.25,4537.25,616,0,0
17,2021-09-02 12:17:00-04:00,4537.25,4537.25,4536.25,4536.5,1377,0,0
18,2021-09-02 12:18:00-04:00,4536.5,4536.75,4535.75,4536.0,1571,0,0
19,2021-09-02 12:19:00-04:00,4536.0,4536.0,4535.0,4535.5,1976,0,0
20,2021-09-02 12:20:00-04:00,4535.5,4536.5,4535.25,4535.75,1590,0,0
21,2021-09-02 12:21:00-04:00,4535.75,4536.25,4535.25,4536.0,1227,0,0
22,2021-09-02 12:22:00-04:00,4536.0,4536.5,4535.75,4535.75,721,0,0
23,2021-09-02 12:23:00-04:00,4535.75,4536.25,4535.25,4535.25,933,0,0
24,2021-09-02 12:24:00-04:00,4535.25,4535.5,4535.0,4535.5,1087,0,0
25,2021-09-02 12:25:00-04:00,4535.5,4535.75,4534.75,4535.75,1491,0,0
26,2021-09-02 12:26:00-04:00,4535.75,4535.75,4535.25,4535.75,799,0,0
27,2021-09-02 12:27:00-04:00,4535.5,4536.0,4535.25,4535.5,1051,0,0
28,2021-09-02 12:28:00-04:00,4535.5,4536.25,4535.25,4536.25,792,0,0
29,2021-09-02 12:29:00-04:00,4536.25,4536.25,4535.75,4536.0,947,0,0
30,2021-09-02 12:30:00-04:00,4536.0,4536.5,4535.5,4536.5,1272,0,0
31,2021-09-02 12:31:00-04:00,4536.5,4536.5,4536.25,4536.5,496,0,0
32,2021-09-02 12:32:00-04:00,4536.25,4536.75,4536.0,4536.5,808,0,0
33,2021-09-02 12:33:00-04:00,4536.75,4536.75,4536.0,4536.25,556,0,0
34,2021-09-02 12:34:00-04:00,4536.0,4536.5,4536.0,4536.5,643,0,0
35,2021-09-02 12:35:00-04:00,4536.25,4536.5,4536.25,4536.5,465,0,0
36,2021-09-02 12:36:00-04:00,4536.25,4536.75,4536.25,4536.25,1018,0,0
37,2021-09-02 12:37:00-04:00,4536.25,4536.5,4536.0,4536.25,665,0,0
38,2021-09-02 12:38:00-04:00,4536.0,4536.0,4535.25,4535.5,1357,0,0
39,2021-09-02 12:39:00-04:00,4535.25,4535.5,4534.5,4535.0,970,0,0
40,2021-09-02 12:40:00-04:00,4535.0,4535.25,4534.5,4535.0,1383,0,0
41,2021-09-02 12:41:00-04:00,4535.0,4535.5,4534.5,4535.5,895,0,0
42,2021-09-02 12:42:00-04:00,4535.5,4536.0,4535.25,4535.75,1181,0,0
43,2021-09-02 12:43:00-04:00,4535.5,4536.25,4535.5,4535.75,791,0,0
44,2021-09-02 12:44:00-04:00,4535.75,4536.5,4535.75,4536.0,559,0,0
45,2021-09-02 12:45:00-04:00,4536.25,4536.75,4535.75,4536.0,1127,0,0
46,2021-09-02 12:46:00-04:00,4536.25,4536.25,4535.25,4535.5,1037,0,0
47,2021-09-02 12:47:00-04:00,4535.5,4536.0,4535.25,4535.5,1081,0,0
48,2021-09-02 12:48:00-04:00,4535.5,4535.5,4534.5,4535.0,1366,0,0
49,2021-09-02 12:49:00-04:00,4535.0,4535.0,4534.5,4534.5,554,0,0
50,2021-09-02 12:50:00-04:00,4534.75,4535.5,4534.5,4535.5,1185,0,0
51,2021-09-02 12:51:00-04:00,4535.5,4536.5,4535.5,4536.25,1068,0,0
52,2021-09-02 12:52:00-04:00,4536.0,4536.75,4536.0,4536.5,712,0,0
53,2021-09-02 12:53:00-04:00,4536.75,4536.75,4536.0,4536.25,1385,0,0
54,2021-09-02 12:54:00-04:00,4536.25,4536.75,4536.0,4536.5,744,0,0
55,2021-09-02 12:55:00-04:00,4536.75,4537.25,4536.5,4537.25,1284,0,0
56,2021-09-02 12:56:00-04:00,4537.0,4537.25,4536.75,4537.0,834,0,0
57,2021-09-02 12:57:00-04:00,4537.0,4537.5,4537.0,4537.5,1030,0,0
58,2021-09-02 12:58:00-04:00,4537.5,4538.0,4537.5,4538.0,1323,0,0
59,2021-09-02 12:59:00-04:00,4538.0,4538.0,4537.5,4537.5,1118,0,0
60,2021-09-02 13:00:00-04:00,4537.5,4538.0,4537.5,4538.0,1089,0,0
61,2021-09-02 13:01:00-04:00,4537.75,4538.0,4537.5,4537.75,540,0,0
62,2021-09-02 13:02:00-04:00,4538.0,4538.25,4537.5,4538.0,988,0,0
63,2021-09-02 13:03:00-04:00,4537.75,4538.0,4537.25,4537.5,688,0,0
64,2021-09-02 13:04:00-04:00,4537.25,4537.75,4537.25,4537.25,511,0,0
65,2021-09-02 13:05:00-04:00,4537.5,4537.75,4537.5,4537.5,516,0,0
66,2021-09-02 13:06:00-04:00,4537.5,4537.75,4537.0,4537.25,555,0,0
67,2021-09-02 13:07:00-04:00,4537.25,4537.25,4536.75,4537.25,492,0,0
